LapNumber,Stint,LapTimeSeconds,Compound,TyreLife,Driver
1.0,1.0,87.905,MEDIUM,1.0,HAM
2.0,1.0,86.163,MEDIUM,2.0,HAM
3.0,1.0,85.702,MEDIUM,3.0,HAM
4.0,1.0,86.05,MEDIUM,4.0,HAM
5.0,1.0,86.176,MEDIUM,5.0,HAM
6.0,1.0,86.837,MEDIUM,6.0,HAM
7.0,1.0,86.368,MEDIUM,7.0,HAM
8.0,1.0,85.99,MEDIUM,8.0,HAM
9.0,1.0,86.605,MEDIUM,9.0,HAM
10.0,1.0,86.603,MEDIUM,10.0,HAM
11.0,1.0,86.643,MEDIUM,11.0,HAM
12.0,1.0,86.442,MEDIUM,12.0,HAM
13.0,1.0,86.666,MEDIUM,13.0,HAM
14.0,1.0,87.028,MEDIUM,14.0,HAM
15.0,1.0,86.782,MEDIUM,15.0,HAM
16.0,1.0,86.718,MEDIUM,16.0,HAM
17.0,1.0,86.733,MEDIUM,17.0,HAM
18.0,1.0,86.273,MEDIUM,18.0,HAM
19.0,1.0,86.438,MEDIUM,19.0,HAM
20.0,1.0,90.849,MEDIUM,20.0,HAM
21.0,2.0,105.66,HARD,1.0,HAM
22.0,2.0,85.885,HARD,2.0,HAM
23.0,2.0,86.159,HARD,3.0,HAM
24.0,2.0,86.327,HARD,4.0,HAM
25.0,2.0,85.914,HARD,5.0,HAM
26.0,2.0,85.786,HARD,6.0,HAM
27.0,2.0,85.501,HARD,7.0,HAM
28.0,2.0,85.434,HARD,8.0,HAM
29.0,2.0,85.471,HARD,9.0,HAM
30.0,2.0,85.398,HARD,10.0,HAM
31.0,2.0,85.502,HARD,11.0,HAM
32.0,2.0,85.41,HARD,12.0,HAM
33.0,2.0,85.24,HARD,13.0,HAM
34.0,2.0,85.683,HARD,14.0,HAM
35.0,2.0,85.815,HARD,15.0,HAM
36.0,2.0,85.598,HARD,16.0,HAM
37.0,2.0,85.683,HARD,17.0,HAM
38.0,2.0,85.585,HARD,18.0,HAM
39.0,2.0,85.486,HARD,19.0,HAM
40.0,2.0,85.901,HARD,20.0,HAM
41.0,2.0,85.779,HARD,21.0,HAM
42.0,2.0,85.912,HARD,22.0,HAM
43.0,2.0,85.994,HARD,23.0,HAM
44.0,2.0,85.751,HARD,24.0,HAM
45.0,2.0,85.916,HARD,25.0,HAM
46.0,2.0,86.185,HARD,26.0,HAM
47.0,2.0,86.137,HARD,27.0,HAM
48.0,2.0,87.235,HARD,28.0,HAM
49.0,2.0,87.907,HARD,29.0,HAM
50.0,2.0,88.393,HARD,30.0,HAM
51.0,2.0,87.525,HARD,31.0,HAM
